,Nome,Idade,Posicao,Media,Potencial,Time,Salario,Total_Pontos
593, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
594, R. Jones,17,ST,59,82,Peterborough United,€500,1544
595, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
596, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
597, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
598, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
599, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
600, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
601, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
602, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
603, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
604, Isco,28,CAM,83,83,Real Madrid,€190K,2077
605, S. Córdova,23,LM,75,83,Club América,€30K,1940
606, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
607, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
608, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
609, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
610, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
611, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
612, Nanu,26,RB,73,76,FC Porto,€10K,1969
613, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
614, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
615, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
616, B. Saka,18,RM,77,88,Arsenal,€25K,1968
617, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
618, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
619, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
620, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
621, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
622, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
623, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
624, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
625, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
626, N. Madueke,18,RM,72,87,PSV,€5K,1792
627, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
628, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
629, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
630, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
631, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
632, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
